学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩
苏秀英,英语,4,女,74,86,77,1,1,1,100.0,85,72,82.95,61,67.58
余冬梅,金融学,1,女,91,93,75,1,1,1,100.0,85,98,91.65,94,93.3
廖娜,英语,3,男,88,81,82,1,1,1,100.0,89,79,87.1,70,75.13
雷丹丹,计算机科学与技术,4,男,77,85,97,1,1,0,66.67,71,94,80.48,99,93.44
郭琳,英语,1,女,65,61,83,1,1,1,100.0,97,98,89.65,94,92.7
董杰,金融学,4,男,95,86,60,1,1,1,100.0,90,84,87.6,91,89.98
刘志强,金融学,2,男,89,88,70,0,1,1,66.67,99,90,85.28,75,78.08
李金凤,金融学,2,男,61,95,61,1,0,1,66.67,72,100,78.03,82,80.81
刘兰英,电子信息工程,2,男,92,91,97,1,1,1,100.0,89,89,92.5,99,97.05
傅彬,金融学,3,女,60,60,90,1,1,1,100.0,91,76,82.75,89,87.12
宋平,计算机科学与技术,4,女,87,87,81,1,1,1,100.0,80,100,90.5,84,85.95
王凤英,电子信息工程,2,男,97,77,85,0,0,1,33.33,76,85,72.82,66,68.05
万桂芝,英语,4,女,64,84,97,1,1,1,100.0,96,80,88.5,89,88.85
蒋红霞,金融学,4,女,84,100,67,1,1,1,100.0,71,93,86.1,88,87.43
何秀珍,电子信息工程,4,男,92,61,68,1,1,1,100.0,94,92,88.6,73,77.68
蒋秀华,金融学,2,女,73,97,72,1,1,1,100.0,96,73,86.45,78,80.54
张梅,电子信息工程,3,男,85,85,94,1,1,1,100.0,87,75,86.9,90,89.07
姚阳,英语,4,女,89,63,61,1,1,1,100.0,96,71,83.05,73,76.01
刘志强,金融学,4,男,85,79,61,1,1,1,100.0,82,75,81.75,77,78.42
谢琳,金融学,4,女,69,82,95,1,1,1,100.0,71,80,82.35,86,84.9
葛秀兰,会计学,4,女,67,75,97,1,1,1,100.0,98,85,89.65,61,69.6
吴晨,金融学,3,女,66,99,87,1,1,1,100.0,96,83,89.95,81,83.68
林宇,电子信息工程,4,女,81,92,66,1,1,0,66.67,85,96,82.48,78,79.34
尚龙,会计学,3,男,69,78,88,1,1,1,100.0,77,84,83.75,76,78.32
张慧,英语,1,女,69,61,68,1,1,1,100.0,85,84,82.05,63,68.71
吕杰,会计学,1,男,67,86,63,1,1,1,100.0,100,97,90.85,98,95.85
岳梅,英语,4,男,84,92,61,1,1,1,100.0,82,88,86.2,81,82.56
毛秀珍,计算机科学与技术,1,男,66,96,61,0,1,1,66.67,96,87,81.38,73,75.51
孟丹,会计学,2,女,70,83,76,1,1,1,100.0,71,86,82.15,61,67.34
苏雪梅,会计学,3,女,62,74,94,1,1,1,100.0,97,83,88.0,96,93.6
吴畅,会计学,2,女,69,78,67,1,1,1,100.0,70,74,77.4,94,89.02
陈涛,计算机科学与技术,2,男,83,87,71,1,1,1,100.0,71,73,80.1,87,84.93
张鑫,会计学,2,男,87,85,91,1,1,1,100.0,72,74,82.8,97,92.74
蔡帅,电子信息工程,1,女,85,88,84,1,1,1,100.0,76,91,87.45,81,82.94
唐凯,英语,2,男,64,82,86,1,1,1,100.0,87,78,84.45,70,74.34
石丽华,金融学,4,女,81,73,71,1,1,1,100.0,79,74,80.75,70,73.22
李建国,金融学,1,男,60,85,90,0,1,1,66.67,71,72,72.58,67,68.67
朱玲,电子信息工程,4,男,71,71,98,1,0,1,66.67,92,71,78.08,79,78.72
和凯,金融学,1,女,66,74,96,1,1,0,66.67,86,74,76.93,74,74.88
叶兰英,金融学,3,女,62,61,64,1,1,1,100.0,80,84,79.7,68,71.51
孟静,会计学,2,女,65,90,86,1,1,1,100.0,84,76,84.1,72,75.63
崔浩,电子信息工程,4,男,71,78,65,1,1,1,100.0,99,98,90.65,100,97.2
陶凯,英语,3,女,72,96,73,1,1,1,100.0,79,93,87.1,73,77.23
何雷,计算机科学与技术,4,男,90,92,68,1,1,1,100.0,73,75,82.0,93,89.7
王伟,会计学,1,男,98,66,60,1,1,1,100.0,84,75,82.15,60,66.64
黄东,电子信息工程,3,男,86,99,96,1,1,1,100.0,98,74,91.1,96,94.53
宋平,会计学,4,男,80,65,93,0,1,1,66.67,96,75,79.88,63,68.06
万洋,计算机科学与技术,2,男,69,79,93,1,1,1,100.0,90,85,87.85,80,82.35
冯欢,会计学,3,男,64,69,92,1,0,1,66.67,91,91,81.33,100,94.4
夏杨,英语,3,男,97,96,83,1,1,1,100.0,77,74,85.35,81,82.3
陆彬,电子信息工程,1,男,100,66,74,1,1,0,66.67,70,85,76.08,86,83.02
林桂芝,计算机科学与技术,2,女,98,100,78,1,1,1,100.0,76,74,85.1,79,80.83
戴桂芝,金融学,3,男,66,85,92,1,1,1,100.0,81,88,86.55,86,86.16
顾秀芳,会计学,2,男,64,77,98,1,1,1,100.0,99,95,92.4,65,73.22
刘伟,会计学,3,女,95,67,70,1,1,1,100.0,82,70,81.2,91,88.06
张玉华,金融学,3,男,84,75,73,1,1,1,100.0,90,88,87.7,89,88.61
郭峰,计算机科学与技术,4,男,75,79,100,1,1,1,100.0,74,82,84.4,76,78.52
詹丽娟,会计学,2,男,80,94,80,1,1,1,100.0,75,100,89.15,64,71.54
黄婷,英语,3,男,62,78,94,1,1,1,100.0,71,77,80.4,85,83.62
高宁,会计学,1,女,70,100,86,1,1,1,100.0,73,100,88.85,88,88.26
史涛,金融学,4,男,83,88,98,1,1,1,100.0,79,96,90.65,64,72.0
陈文,计算机科学与技术,3,女,90,85,97,1,0,1,66.67,98,99,89.78,67,73.83
徐杰,英语,2,女,70,100,97,1,1,1,100.0,87,76,87.45,95,92.74
郭玉梅,金融学,2,女,66,63,94,1,1,1,100.0,95,93,89.3,88,88.39
郭娟,会计学,4,女,98,86,83,1,1,0,66.67,83,98,85.28,69,73.88
张伟,电子信息工程,1,女,84,68,73,1,0,1,66.67,87,77,76.83,94,88.85
孟博,计算机科学与技术,1,女,81,71,79,1,1,1,100.0,93,74,84.85,87,86.35
沈华,会计学,4,女,76,88,63,1,0,1,66.67,79,98,80.28,92,88.48
刘建,金融学,1,男,65,78,61,1,1,1,100.0,71,80,78.15,82,80.84
张莹,计算机科学与技术,3,女,91,91,99,1,1,1,100.0,80,87,89.85,65,72.46
王淑珍,金融学,1,女,68,67,63,1,1,1,100.0,85,73,79.3,62,67.19
田凤兰,金融学,2,男,72,85,85,1,1,1,100.0,99,89,91.2,81,84.06
柯楠,会计学,1,男,92,64,78,0,1,1,66.67,92,79,79.48,81,80.54
倪春梅,金融学,3,男,86,98,61,1,1,1,100.0,81,99,89.5,98,95.45
贺琴,英语,4,女,78,66,89,1,1,0,66.67,95,89,82.63,87,85.69
刘秀英,计算机科学与技术,2,男,83,65,90,1,1,1,100.0,80,86,85.3,87,86.49
谢帆,金融学,4,女,95,73,77,1,1,1,100.0,95,97,92.5,72,78.15
胡玲,电子信息工程,3,男,66,64,77,1,1,1,100.0,78,74,78.7,63,67.71
姜宇,英语,4,女,97,74,98,1,1,1,100.0,91,99,94.4,66,74.52
单倩,金融学,1,女,75,69,63,0,1,1,66.67,85,76,74.28,90,85.28
李玉英,电子信息工程,4,男,79,94,90,1,1,1,100.0,83,83,87.8,65,71.84
宁琴,英语,1,男,65,77,84,1,1,1,100.0,90,98,89.6,97,94.78
吴燕,英语,2,女,69,61,87,1,1,1,100.0,99,94,89.95,96,94.18
刘玉兰,英语,1,女,97,84,76,1,1,1,100.0,85,98,91.45,88,89.04
杨建华,计算机科学与技术,3,女,90,96,94,1,0,1,66.67,98,89,88.08,69,74.72
刘慧,会计学,4,女,98,98,92,1,1,1,100.0,95,88,94.55,100,98.36
王斌,英语,4,男,99,83,89,1,1,1,100.0,91,98,94.35,95,94.8
卢瑜,英语,2,女,87,80,63,1,1,1,100.0,95,92,89.75,77,80.82
王欣,电子信息工程,1,男,81,74,63,1,1,1,100.0,95,80,85.55,62,69.06
李桂芳,英语,1,女,70,98,92,1,1,1,100.0,89,81,88.5,77,80.45
武丽华,会计学,1,女,93,73,63,1,1,1,100.0,89,80,85.15,68,73.14
许宇,电子信息工程,1,女,66,86,97,0,1,1,66.67,70,80,75.73,77,76.62
杜雷,计算机科学与技术,2,女,67,83,60,1,1,0,66.67,95,92,81.08,90,87.32
冼洁,会计学,2,男,70,84,91,1,1,1,100.0,80,95,88.25,82,83.88
刘雷,金融学,2,女,63,71,64,1,1,1,100.0,72,84,78.8,91,87.34
吴桂英,电子信息工程,4,女,99,98,87,1,1,0,66.67,100,70,84.23,95,91.77
阚晶,英语,1,女,68,60,66,1,1,1,100.0,99,90,86.65,92,90.4
孙桂香,电子信息工程,2,女,99,91,77,0,1,0,33.33,90,84,76.87,80,79.06
冯鑫,计算机科学与技术,4,男,95,95,69,1,1,0,66.67,91,89,84.23,86,85.47
吴坤,英语,1,男,73,68,65,1,1,1,100.0,99,88,87.35,64,71.0
唐建国,计算机科学与技术,2,女,77,62,74,1,0,1,66.67,91,95,81.13,64,69.14
董军,会计学,3,男,66,89,71,1,1,1,100.0,79,89,84.6,99,94.68
彭鑫,会计学,1,女,100,78,81,1,1,1,100.0,72,78,83.4,96,92.22
涂磊,英语,1,男,75,97,81,1,1,1,100.0,92,80,88.3,87,87.39
马帆,会计学,3,男,88,66,78,1,1,1,100.0,99,91,90.7,77,81.11
王红霞,电子信息工程,1,女,97,68,80,1,0,1,66.67,100,97,87.08,67,73.02
汪红,英语,4,女,98,99,86,1,1,1,100.0,87,92,93.05,96,95.11
陈丽华,电子信息工程,1,女,75,64,86,1,1,1,100.0,80,87,84.25,67,72.18
卢鑫,电子信息工程,3,女,73,96,66,1,0,0,33.33,80,86,71.67,87,82.4
许云,金融学,4,男,77,90,93,1,1,0,66.67,74,91,80.58,74,75.97
邵刚,英语,2,男,83,64,74,1,1,0,66.67,87,95,80.93,79,79.58
刘晶,电子信息工程,3,男,68,60,78,1,1,0,66.67,88,94,79.43,93,88.93
罗明,金融学,2,男,62,92,93,1,1,1,100.0,86,76,85.2,86,85.76
莫兰英,英语,3,女,65,64,73,0,0,1,33.33,100,87,73.62,62,65.49
邵平,英语,1,女,86,66,93,1,1,1,100.0,88,97,90.75,91,90.92
侯凤兰,会计学,4,女,69,76,70,1,1,0,66.67,76,72,71.83,85,81.05
张桂花,计算机科学与技术,4,男,79,79,89,1,0,1,66.67,96,94,85.53,80,81.66
黄金凤,电子信息工程,3,女,94,81,65,1,1,1,100.0,92,76,86.0,69,74.1
黄静,英语,2,女,67,82,73,1,0,0,33.33,96,75,71.62,93,86.59
李霞,会计学,3,女,87,81,99,1,1,1,100.0,87,85,89.7,90,89.91
盖金凤,计算机科学与技术,1,女,77,69,73,1,1,0,66.67,83,84,76.98,72,73.49
苏宇,计算机科学与技术,1,女,66,70,99,1,1,0,66.67,81,78,76.58,87,83.87
田博,会计学,3,女,80,77,83,1,1,0,66.67,79,87,78.83,87,84.55
王丹,金融学,4,男,100,83,62,1,0,1,66.67,91,96,84.58,87,86.27
关建平,金融学,2,女,73,98,78,1,1,1,100.0,97,96,93.15,88,89.54
黄平,会计学,1,女,70,78,69,0,1,1,66.67,98,94,83.03,85,84.41
谢瑞,计算机科学与技术,4,女,96,78,65,1,1,1,100.0,95,89,89.9,97,94.87
任桂珍,计算机科学与技术,1,男,61,71,75,1,1,1,100.0,86,99,86.95,74,77.88
张建国,会计学,2,男,68,89,70,1,1,1,100.0,98,95,90.95,82,84.68
梁强,金融学,4,女,62,90,67,1,1,1,100.0,79,97,85.9,61,68.47
林红霞,英语,2,男,90,77,86,1,1,1,100.0,72,100,88.3,98,95.09
陈琴,英语,2,男,66,92,63,1,1,1,100.0,93,99,90.1,64,71.83
侯涛,计算机科学与技术,3,男,69,98,78,0,1,1,66.67,89,100,85.08,74,77.32
陈桂花,英语,4,女,60,91,67,1,0,1,66.67,93,92,81.38,88,86.01
叶峰,电子信息工程,4,男,85,71,81,1,1,1,100.0,90,87,87.95,95,92.88
李凤兰,英语,2,女,85,65,90,1,1,1,100.0,77,92,86.25,75,78.38
赵莹,英语,3,女,92,98,88,1,1,1,100.0,99,77,91.8,99,96.84
彭建军,电子信息工程,1,男,88,78,95,1,1,0,66.67,88,96,85.43,97,93.53
韩辉,英语,4,女,67,67,76,1,1,1,100.0,87,93,86.0,70,74.8
张利,金融学,3,男,62,81,73,1,1,1,100.0,73,76,78.85,94,89.46
温琴,电子信息工程,2,女,69,77,82,1,0,1,66.67,73,94,77.88,80,79.36
赵琴,会计学,3,男,97,61,98,1,1,1,100.0,99,72,88.35,100,96.5
王楠,会计学,2,女,79,94,66,1,0,0,33.33,94,74,72.57,67,68.67
冯婷,会计学,4,女,79,92,80,1,1,1,100.0,92,71,85.85,99,95.06
杨淑珍,计算机科学与技术,2,男,75,100,74,0,1,1,66.67,75,82,77.48,69,71.54
王红,金融学,4,男,97,60,87,1,1,1,100.0,86,99,90.65,60,69.19
汤丽华,计算机科学与技术,1,男,71,100,84,1,1,1,100.0,86,99,91.75,95,94.02
唐柳,英语,2,女,67,74,72,1,1,1,100.0,81,97,85.8,64,70.54
王红,金融学,2,男,63,70,86,1,1,1,100.0,79,70,79.15,100,93.74
许雪梅,会计学,2,女,91,84,66,1,1,0,66.67,73,91,78.43,62,66.93
伏佳,金融学,3,男,68,63,72,1,1,1,100.0,96,74,82.8,74,76.64
余彬,英语,1,男,73,67,64,1,1,1,100.0,90,84,83.9,69,73.47
毕宇,会计学,2,男,75,79,100,1,0,1,66.67,78,96,82.23,99,93.97
蒙丽娟,金融学,1,女,83,90,70,1,1,1,100.0,91,81,87.3,80,82.19
李军,会计学,1,男,81,75,78,1,0,1,66.67,90,72,77.23,65,68.67
吴颖,电子信息工程,4,男,84,100,66,1,0,1,66.67,95,85,83.33,71,74.7
杨俊,电子信息工程,2,男,83,90,90,1,1,0,66.67,97,70,81.38,98,93.01
高桂荣,英语,1,女,99,84,66,1,1,1,100.0,91,82,88.15,98,95.04
申平,计算机科学与技术,4,女,79,62,81,1,1,1,100.0,97,100,91.45,99,96.74
周琴,计算机科学与技术,2,男,100,93,77,1,1,1,100.0,100,89,94.25,75,80.78
张阳,英语,4,男,82,89,74,0,1,1,66.67,76,79,76.58,72,73.37
刘超,电子信息工程,2,男,80,84,73,1,1,1,100.0,77,82,83.45,60,67.04
杜桂花,金融学,4,女,60,69,82,1,1,1,100.0,82,70,79.1,92,88.13
李欣,电子信息工程,3,女,76,66,70,1,1,1,100.0,94,97,88.95,89,88.98
崔岩,会计学,2,男,92,100,84,1,1,1,100.0,83,77,87.6,89,88.58
常娟,电子信息工程,2,男,64,69,90,1,1,0,66.67,71,73,71.63,84,80.29
谢颖,金融学,1,男,77,98,61,1,1,1,100.0,88,72,83.6,72,75.48
胡文,英语,4,男,100,70,92,1,1,1,100.0,85,82,87.95,93,91.48
李燕,计算机科学与技术,2,男,62,96,73,1,1,1,100.0,82,94,87.1,85,85.63
徐建,英语,3,男,87,65,73,1,1,1,100.0,95,84,87.25,88,87.78
唐宁,会计学,3,女,88,87,85,1,1,1,100.0,84,73,85.25,64,70.38
孙勇,会计学,1,女,90,87,84,1,1,1,100.0,92,85,90.35,83,85.2
徐阳,金融学,2,男,88,67,77,1,1,1,100.0,93,93,89.7,68,74.51
杨冬梅,电子信息工程,4,女,81,97,66,1,1,1,100.0,100,97,93.65,76,81.3
陆建华,计算机科学与技术,3,女,75,66,95,1,1,1,100.0,70,91,83.85,94,90.96
徐娜,会计学,1,女,61,94,91,1,0,1,66.67,85,97,83.43,89,87.33
宋慧,会计学,2,男,69,79,64,1,1,1,100.0,73,76,78.45,61,66.24
杨凤英,电子信息工程,4,女,75,81,64,1,1,1,100.0,96,90,88.5,100,96.55
邓凤兰,英语,2,女,88,72,66,1,1,1,100.0,95,86,87.85,80,82.35
盛阳,计算机科学与技术,2,女,77,86,71,0,1,1,66.67,97,99,85.73,85,85.22
侯利,计算机科学与技术,3,男,83,81,94,1,0,1,66.67,84,78,79.63,73,74.99
杨浩,金融学,4,女,66,100,74,1,1,1,100.0,93,79,87.0,89,88.4
邓荣,电子信息工程,2,男,80,60,79,1,1,1,100.0,84,89,85.15,60,67.54
李波,金融学,2,女,64,94,74,1,1,1,100.0,72,89,83.45,84,83.84
刘建平,会计学,4,男,82,64,89,1,1,1,100.0,100,93,91.75,67,74.42
黄冬梅,英语,2,男,69,79,77,1,1,1,100.0,95,85,87.5,69,74.55
张晨,电子信息工程,2,男,70,98,97,1,1,1,100.0,88,97,92.75,77,81.72
胡洋,电子信息工程,1,女,66,90,61,1,1,1,100.0,88,94,87.2,68,73.76
周桂兰,金融学,4,女,77,81,88,1,1,1,100.0,87,96,90.35,96,94.3
王璐,计算机科学与技术,3,男,91,98,84,1,1,0,66.67,92,94,87.13,77,80.04
马金凤,英语,4,男,89,63,81,1,0,1,66.67,93,97,84.13,89,87.54
邹鹏,电子信息工程,4,女,74,65,91,1,1,1,100.0,100,85,89.25,88,88.38
冯想,计算机科学与技术,1,女,67,78,78,1,0,0,33.33,93,88,74.22,76,75.47
张娟,金融学,2,男,72,85,89,1,1,1,100.0,99,95,93.1,72,78.33
耿秀芳,会计学,3,男,68,67,90,1,1,1,100.0,87,82,84.75,79,80.72
童涛,电子信息工程,3,男,74,90,67,1,0,1,66.67,88,96,82.43,91,88.43
王文,电子信息工程,3,男,80,84,63,1,0,1,66.67,81,78,75.78,72,73.13
王建国,计算机科学与技术,3,女,83,72,71,1,1,1,100.0,83,100,88.35,71,76.2
何坤,金融学,1,男,98,75,80,1,1,1,100.0,84,96,90.3,60,69.09
刘静,金融学,1,女,69,93,73,1,1,1,100.0,71,80,81.25,72,74.78
徐金凤,电子信息工程,4,女,81,93,67,1,1,1,100.0,99,97,93.1,83,86.03
佟玉英,英语,4,女,97,99,78,1,1,1,100.0,93,85,91.9,92,91.97
史娜,金融学,3,女,62,94,81,1,1,1,100.0,78,92,86.2,77,79.76
郭敏,会计学,2,男,93,84,70,1,1,1,100.0,77,91,86.7,62,69.41
吴林,电子信息工程,4,男,76,75,66,1,1,1,100.0,85,84,83.95,64,69.98
黎明,电子信息工程,2,女,90,81,60,1,1,1,100.0,73,93,84.6,85,84.88
麦淑珍,英语,2,男,99,66,92,1,1,1,100.0,78,89,87.45,82,83.64
邓刚,英语,4,女,84,67,82,1,1,1,100.0,85,94,88.05,61,69.11
程梅,英语,4,男,75,93,95,1,1,1,100.0,78,77,85.05,86,85.71
吴玉梅,计算机科学与技术,3,女,89,69,65,1,1,1,100.0,70,86,81.3,63,68.49
栾龙,计算机科学与技术,4,女,93,91,94,1,1,1,100.0,71,78,85.05,73,76.61
王红霞,计算机科学与技术,1,男,95,77,94,1,1,0,66.67,93,80,83.18,93,90.05
张军,电子信息工程,2,男,98,68,61,1,1,1,100.0,88,73,82.95,84,83.68
杨慧,英语,2,女,92,78,64,0,1,1,66.67,79,89,78.73,98,92.22
王柳,电子信息工程,4,女,61,98,60,1,1,1,100.0,88,85,85.15,88,87.14
刘建,电子信息工程,4,男,97,68,88,1,1,1,100.0,96,91,92.05,65,73.11
吴帆,英语,2,女,97,62,97,1,1,1,100.0,84,84,87.6,75,78.78
游阳,英语,2,男,66,84,69,1,1,0,66.67,80,76,74.23,64,67.07
郭楠,金融学,4,男,98,85,77,1,1,1,100.0,96,86,91.5,62,70.85
萧阳,会计学,1,男,82,93,92,1,1,1,100.0,93,72,87.95,88,87.98
姚强,电子信息工程,1,男,85,61,100,1,1,1,100.0,75,73,81.6,85,83.98
鞠岩,计算机科学与技术,3,男,76,77,61,1,1,1,100.0,70,79,78.65,93,88.7
陈彬,英语,3,女,92,63,74,1,1,0,66.67,83,70,74.48,94,88.14
李玉兰,金融学,2,男,79,85,88,1,1,1,100.0,80,80,85.2,99,94.86
李想,会计学,3,男,84,67,83,1,0,1,66.67,78,72,74.23,98,90.87
徐晨,英语,2,男,94,73,62,1,1,0,66.67,89,83,79.23,77,77.67
吴岩,计算机科学与技术,4,男,88,99,83,1,1,1,100.0,74,100,90.5,83,85.25
杨晶,计算机科学与技术,3,男,98,100,69,0,1,0,33.33,100,75,77.12,79,78.44
朱莉,会计学,1,男,87,75,87,1,1,1,100.0,92,73,86.15,100,95.84
武峰,会计学,3,男,88,95,65,1,1,1,100.0,88,83,87.55,75,78.76
崔兵,电子信息工程,4,女,87,97,93,1,1,1,100.0,86,99,93.95,60,70.18
陆建平,英语,2,男,71,64,91,1,0,1,66.67,100,97,85.18,94,91.35
徐旭,英语,4,女,73,86,94,1,1,0,66.67,70,89,78.38,92,87.91
顾玉华,电子信息工程,1,女,65,83,62,1,1,1,100.0,73,81,79.5,62,67.25
陈俊,会计学,3,男,82,95,99,1,1,1,100.0,84,92,91.6,94,93.28
张红梅,电子信息工程,4,女,94,76,72,1,0,1,66.67,92,96,84.53,78,79.96
张旭,英语,4,男,66,87,60,1,1,1,100.0,97,87,87.3,75,78.69
罗秀梅,计算机科学与技术,3,男,98,88,60,1,1,1,100.0,98,88,91.1,69,75.63
童淑英,金融学,2,男,73,83,97,1,1,1,100.0,98,87,91.55,77,81.36
周丽娟,计算机科学与技术,3,男,65,75,92,1,1,1,100.0,79,89,85.2,74,77.36
李勇,英语,3,女,79,88,98,1,1,0,66.67,90,94,85.83,77,79.65
马小红,计算机科学与技术,3,女,68,87,94,1,0,1,66.67,78,78,77.23,84,81.97
武晶,电子信息工程,1,男,79,88,71,1,1,1,100.0,77,90,85.55,72,76.06
周玉梅,金融学,4,女,86,91,89,1,1,1,100.0,87,90,90.85,72,77.66
伍晶,英语,4,男,94,88,95,1,1,1,100.0,94,81,91.45,100,97.44
郑秀芳,计算机科学与技术,3,男,77,81,89,1,1,1,100.0,96,79,88.45,60,68.54
王建国,英语,3,女,89,62,65,0,1,1,66.67,96,100,83.93,89,87.48
李秀芳,电子信息工程,4,男,65,86,87,1,1,1,100.0,95,76,86.55,84,84.76
丰秀荣,电子信息工程,1,女,92,75,71,1,1,1,100.0,92,77,86.05,74,77.61
侯辉,英语,1,女,79,97,85,1,1,1,100.0,79,94,89.35,89,89.1
梅莹,会计学,2,男,75,85,65,1,1,1,100.0,75,76,80.25,64,68.88
凌玲,计算机科学与技术,2,女,67,87,95,1,1,1,100.0,88,78,86.4,83,84.02
张艳,电子信息工程,3,男,79,89,78,1,0,1,66.67,90,71,78.18,75,75.95
段岩,金融学,2,女,75,70,99,1,1,1,100.0,71,91,84.9,79,80.77
谢淑英,英语,1,女,91,73,95,1,1,1,100.0,95,84,90.65,84,86.0
韩成,金融学,3,女,82,77,76,1,1,1,100.0,75,77,81.5,85,83.95
陈柳,计算机科学与技术,3,男,68,76,85,1,1,1,100.0,78,98,86.9,71,75.77
宁莹,英语,2,男,78,73,76,1,1,1,100.0,82,81,83.45,95,91.54
张婷婷,会计学,3,男,89,85,75,0,1,1,66.67,74,87,78.48,84,82.34
李红霞,金融学,2,男,76,68,77,1,1,0,66.67,88,98,81.93,99,93.88
顾玉华,电子信息工程,4,女,94,86,97,1,1,1,100.0,73,74,84.45,89,87.64
聂倩,会计学,4,女,62,73,67,1,1,1,100.0,72,87,79.95,99,93.28
杨柳,会计学,1,女,88,62,86,1,1,0,66.67,86,75,77.18,75,75.65
刘宇,金融学,2,男,98,96,91,0,1,1,66.67,92,84,85.83,68,73.35
陈璐,计算机科学与技术,1,女,99,80,81,1,1,0,66.67,91,86,83.58,100,95.07
廖婷,英语,3,男,82,66,91,1,1,1,100.0,89,83,86.9,80,82.07
米欢,金融学,1,女,66,71,70,1,1,1,100.0,75,70,76.95,96,90.28
罗军,计算机科学与技术,1,男,66,66,76,1,0,1,66.67,83,78,74.38,72,72.71
张欢,电子信息工程,1,男,85,83,73,1,1,1,100.0,98,95,92.35,84,86.5
林璐,英语,1,男,96,87,63,1,1,1,100.0,76,88,85.6,68,73.28
陈利,英语,4,男,63,84,76,1,1,1,100.0,70,91,82.55,91,88.46
邹辉,电子信息工程,2,女,80,86,80,1,1,1,100.0,70,86,83.6,86,85.28
林鑫,金融学,2,女,91,80,96,1,1,1,100.0,95,96,94.45,81,85.04
黄飞,金融学,3,男,67,82,74,1,1,1,100.0,93,85,86.8,63,70.14
杨林,电子信息工程,1,女,79,100,63,0,1,1,66.67,100,75,81.28,80,80.38
傅淑兰,电子信息工程,3,女,79,66,93,1,1,1,100.0,92,72,84.8,67,72.34
戴秀荣,金融学,4,男,65,93,88,1,1,1,100.0,97,91,91.6,97,95.38
郑婷婷,英语,1,男,76,83,81,1,1,1,100.0,98,99,93.25,95,94.48
何海燕,英语,2,女,88,69,99,1,1,1,100.0,73,76,82.85,92,89.26
徐健,金融学,4,男,62,88,84,1,1,1,100.0,92,92,89.4,82,84.22
郑晨,金融学,2,女,89,86,76,1,1,1,100.0,80,78,84.6,93,90.48
何丽娟,计算机科学与技术,1,男,81,98,68,1,1,1,100.0,72,72,80.7,89,86.51
张斌,金融学,1,男,91,92,70,1,1,1,100.0,84,80,86.3,72,76.29
孙华,电子信息工程,1,女,68,72,71,1,1,1,100.0,89,87,85.1,98,94.13
方丽丽,电子信息工程,1,女,89,64,88,1,0,1,66.67,72,71,73.18,67,68.85
李桂兰,计算机科学与技术,3,男,69,89,76,1,1,1,100.0,75,73,80.4,99,93.42
周丽娟,会计学,4,男,83,62,89,1,1,1,100.0,97,94,91.15,79,82.64
刘志强,计算机科学与技术,3,男,72,68,95,1,1,1,100.0,82,92,87.0,69,74.4
任兰英,会计学,4,女,92,100,65,1,1,1,100.0,94,82,89.7,100,96.91
祁凤英,金融学,1,女,84,86,60,1,1,1,100.0,89,96,89.25,71,76.47
杨畅,金融学,3,女,80,80,65,1,0,1,66.67,100,95,84.58,98,93.97
苏秀英,电子信息工程,4,男,82,75,98,1,1,1,100.0,70,77,82.25,66,70.88
马雪梅,英语,3,男,84,60,67,1,1,1,100.0,82,85,82.85,84,83.66
杨玉珍,英语,4,女,84,60,90,1,1,0,66.67,96,92,83.73,88,86.72
潘琳,会计学,2,男,89,60,75,0,1,1,66.67,84,86,78.23,97,91.37
卢英,会计学,2,男,61,77,93,1,1,1,100.0,96,82,87.6,67,73.18
李凯,金融学,3,男,98,62,99,1,1,1,100.0,85,72,85.15,90,88.54
陈瑞,计算机科学与技术,3,女,87,97,70,1,1,1,100.0,85,99,91.4,75,79.92
张丹丹,会计学,3,女,82,79,61,0,1,1,66.67,97,91,82.53,100,94.76
温冬梅,电子信息工程,2,女,76,74,64,1,0,1,66.67,89,96,80.98,77,78.19
檀桂珍,计算机科学与技术,1,男,87,100,63,1,1,1,100.0,70,70,80.0,83,82.1
檀伟,计算机科学与技术,2,男,98,85,74,1,1,1,100.0,74,78,83.7,94,90.91
郝刚,计算机科学与技术,3,女,100,74,82,1,0,1,66.67,73,100,82.18,61,67.35
刘浩,计算机科学与技术,3,女,91,80,69,1,1,1,100.0,84,97,89.25,67,73.68
甘婷,金融学,2,女,99,78,83,1,1,1,100.0,97,74,88.75,95,93.12
马莉,计算机科学与技术,4,男,98,100,76,1,1,1,100.0,87,91,91.9,63,71.67
杨林,计算机科学与技术,2,女,76,92,96,1,0,1,66.67,70,94,80.73,97,92.12
傅凤英,会计学,4,男,66,74,93,1,1,1,100.0,92,85,87.55,67,73.16
李坤,英语,1,男,100,86,92,1,1,1,100.0,83,95,92.3,62,71.09
周洋,英语,4,女,83,76,75,1,1,1,100.0,99,96,92.15,90,90.64
黄桂兰,金融学,3,女,71,87,92,1,1,1,100.0,81,88,87.25,93,91.28
黄红,电子信息工程,4,男,81,98,76,1,1,1,100.0,92,73,86.75,71,75.72
邵云,计算机科学与技术,2,男,87,74,67,1,1,0,66.67,74,86,76.13,62,66.24
朱俊,会计学,1,男,81,64,76,1,1,1,100.0,87,92,86.85,90,89.06
